parent_id,name,filter_id,description
239,Aircraft,3,
239,Aviation Accessories,3,
239,Aviation Parts ,3,
239,Bicycle,3,
239,Bicycle Accessories ,3,
239,Bicycle Parts ,3,
239,Boats & Ships,3,
239,Bus,3,
239,Bus Accessories,3,
239,Bus Parts,3,
239,Container,3,
239,Electric Bicycle,3,
239,Electric Bicycle Part,3,
239,Emergency Vehicles,3,
239,Golf Carts,3,
239,Locomotive,3,
239,Marine Supplies,3,
239,Personal Watercraft,3,
239,Railway Supplies,3,
239,Snowmobile,3,
239,Special Transportation,3,
239,Trailers,3,
239,Train Carriage,3,
239,Train Parts,3,
239,Truck,3,
239,Truck Accessories,3,
239,Truck Parts,3,
